----;levenstein;lemmaequal;grammequal;stemequal;lenorig;lencorr;bastard;PR_j1;ADV_j1;INTJ_j1;PRO_j1;PART_j1;V_j1;A_j1;S_j1;NUM_j1;CONJ_j1;PR_j2;ADV_j2;INTJ_j2;PRO_j2;PART_j2;V_j2;A_j2;S_j2;NUM_j2;CONJ_j2;hashyphen;hasgraph;hasneg;hasspace;hasaux;samebrev;samegender;samenum;samepers;levenstein_consonants;transfer;conj;syntax;neg;phon;aux;prep;del;constr;subst;idiom;ref;insert;transp;not-clear;passive;lex;misspell;graph;hyphen;space;translit;tense;infl;deriv;refl;typo;agrpers;par;wo;ortho;num;cs;agrgerund;morph;gov;asp;agrgender;agrcase;brev;agrnum;coord;punc
transfer;0,142667494;0,002499066;0,004284026;0,001800714;0,132925358;0,112916693;0,004419395;0,008478269;0,002661512;0;0,0130173;0,0201747;0,020508636;0,018575926;0,029022235;0;0,006417936;0,028937485;0,110943603;0;0,03082699;0,011765499;0,008275029;0,055730308;0,005479413;0,001742686;0,022157639;0,010085961;0;0,000200936;4,81E-05;0,025112042;0,009213729;0,010346773;0,006408069;0,001602244;0,14075424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conj;0,070284895;8,62E-05;0,087057043;0;0,267722919;0,027021714;0,000513406;0,014758076;0,008756386;0;0,006310902;0,019128177;0,004446088;0,001208451;8,31E-05;0;0,224202993;0,003163856;0,007901684;0;0,005283311;0,008775012;0,000199472;0,000207405;0,021134634;0;0,172390618;0,001064145;0;0;0,000255153;0;0,000510848;0,000246722;0,002399379;0,003388778;0,036551151;0,004947459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
syntax;0,473814713;0,002788678;0,019739012;0,000486795;0,10748702;0,068778981;0;0,011360225;0,018301183;0,009581007;0,018773328;0,001056624;0,00827839;0,000921106;0,019272985;0;0,005935102;0,004674985;0,009687566;0;0,028910242;0,003453627;0,018779593;0,007339172;0,022704242;0,009038634;0,007960486;0,000998979;0;0,011248958;0;0,01171366;0,000576301;0,002670954;0,001697299;0,001724517;0,076275157;0,005764052;0,008206429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neg;0,278615792;0;2,88E-05;0;0,006277228;0,079135083;0;0;0,025182101;0;0,083573312;1,96E-05;0,003573711;0,000355119;0;0,004604069;0;0;0,154998381;0;0,001056243;0,000852984;0,004032408;0;0;0,085567121;0;0;0;0,007776834;0;0,001092679;0,002097732;0;0;0,084607828;0,175178278;0;0;0,001374742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phon;0,094211182;0,013321356;0,034058812;0,11655841;0,011171943;0,012024942;0,03405163;0;0,023930066;0;0,104281206;0;0,028262357;0,062608565;0,078116919;0,007948243;0;0,00131023;0,03047892;0;0,063331348;0;0,025616093;0,016686063;0,051798019;0,006050322;0;0;0,00999661;0;5,01E-05;0,003993099;0,000726309;0,060071149;0,019099396;0,02186995;0,06837679;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aux;0,247953292;0;0,027329704;1,64E-05;0,032464688;0,178932812;0,008860594;0;8,52E-05;0;0,089086384;0;0,031394912;0;0;0;0,000617028;0,001346183;0;0;0,038982736;0,004695287;7,53E-06;0;0,058032591;0;0;0;0;0,037392366;0;0,05278681;0;0;0,020610513;0,020564327;0,110147808;0,038692839;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prep;0,209817015;0,000469616;0,000229246;8,45E-05;0,065525362;0,039589235;0,001178987;0,065611425;0,011936698;8,83E-05;0,104997579;0,000340025;0;0,001768243;0,004612873;0;0,001385008;0,128840413;0,00143825;0;0,021289779;0;0,079761918;0,005238339;0,045394538;0;0,000358897;0,000846184;0;0;0;0;0,03076817;0,000850325;0,035837563;0,010124455;0,131617091;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
del;0,200411665;0,000784897;0,001060162;0,003451621;0,042880652;0,053223406;0,000514378;0,035021484;0,014326783;0,004169063;0,019839723;0,009489481;0,038468605;0,011607752;0,034106768;0,005451741;0,005166081;0,018100238;0,035073579;0;0,028866429;0,028181355;0,023866828;0,032576677;0,011325352;0,012176644;0,020244918;0,01597155;0,001191125;0,020493877;0,005418335;0,024007663;0,030938175;0,022543699;0,01991026;0,010378012;0,129129174;0,001989733;0,016546254;0,002038991;0,000151211;5,29E-06;0,007117165;0,001783203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constr;0,24153307;0,010695414;0,00367104;0,002038964;0,098685035;0,055439561;0,005182284;0,008019149;0,01799995;0,000141358;0,023082962;0,010056074;0,017558967;0,018037355;0,010011488;0,00513165;0,012393651;0,015322777;0,019142688;0,00285829;0,020310337;0,003542662;0,008452401;0,038524451;0,014552068;0,007853156;0,019241038;0,023257576;0,000688677;0,018272291;1,56E-05;0,013332335;0,020059985;0,019612247;0,010123578;0,018511974;0,146133534;0,011812775;0,006214994;0,004766138;0,00180918;0;0;0;0,015911233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subst;0,174881133;0,112772044;0,039506051;0,029702705;0,007116615;0,004298377;0,13918255;0,028018921;0,010431535;0,030985214;0,007344344;0,006399948;0,007645344;0,014977883;0,02548452;0,002217236;0,000245931;0,005794181;0,011343979;0;0,020378992;0,001700963;0,012429836;0,029246209;0,032337336;0;0,001150051;0,000907502;0;0,004320811;0,000841465;0,004832542;0,009380842;0,043850016;0,047620661;0,009363795;0,089359351;0;0,031383757;0;0;0;0;0;0;0,002547359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
idiom;0,075828162;0,00108449;0,002861915;0,005015132;0,112237272;0,087249041;0,000250517;0,002310102;0;0,001197193;0,075013627;0,001240311;0,0436163;0,076607619;0,001167772;0;0;0,078805102;0,005622599;0;0,000944758;5,99E-05;0,006679578;0,062905375;0,006455807;0;0,009803033;0,003688485;0;0,023760146;0;0,050640168;0,011854787;0,060741758;0,033574225;0,01454788;0,116108628;0,004526037;0;0;0;0;0;0;0,007952041;0,015650209;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref;0,086793817;0,009902523;0,01040928;0,012960749;0,114836416;0,016531601;0,004802948;0,001946905;0,016622822;0;0,053659264;0,003777816;0,011505687;0,019644824;0,028409502;0;0,000480852;0,035882742;0,056287588;0;0,150012496;0,006818537;0,024776114;0,013917034;0,044740418;0;9,32E-05;0,01600297;0,002921036;0,0001997;0;0,010218164;0,00240375;0,031911927;0,024935562;0,029077643;0,142887821;0,000449236;0;0;0;0;0;0;0,005780101;0,003762648;0,004636261;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
insert;0,245429579;0,013622068;0,006300703;0,00790386;0,048904348;0,270764852;0,001657318;0,016719574;0,01554542;0,002066195;0,029426235;0,01135162;0,009969265;0,020326419;0,027823756;0,006196812;0,012883937;0,002402885;0,011261992;0,00561932;0,020851743;0,006201417;0,01168204;0,009784171;0,008559549;0,000314309;0,009672189;0,011928165;0,000853785;0,010726092;0,011949595;0,005306652;0,00790161;0,009198625;0,009017075;0,009189885;0,066216437;0,001838031;0,004136486;0;0;0,001368679;0;0;0,004456968;0,00592895;0;0;0,006741388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transp;0,08343406;0,000778961;0,000264108;0,001326462;0,120360933;0,000789922;0,039626498;0;0,043393207;0;0,000127954;1,59E-05;0,039967009;0,050902793;0,00048636;0,000384648;0;0,000384772;0,000298104;0;0,03937544;0;0,077271637;0,000354577;0,000510107;0;0,043515081;0,044659652;4,19E-05;0,000531675;1,23E-06;0,000108926;0,163632165;0,086891204;0,000367404;0,040538872;0,119327217;0;0;0;0;0;0;0;0;0;1,60E-05;0;1,70E-05;0,000298198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
not-clear;0,108388933;0,000907304;0,002587652;0,001658441;0,100877476;0,443992321;0,003669423;0,010354086;0,011087363;0;7,62E-05;0;0,013964121;0,008125106;0,020866225;0;0,002603186;0,001715598;0;0;0;0;0,001798785;0;0,002383259;0,003221796;0,001211767;0;0;0;0;0,000330899;0,012639753;0,002372842;0,000338841;8,23E-05;0,057338282;0;0,006460707;0;0;0;0;0;0;0,023660547;0;0;0,003431082;0,153855676;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
passive;0,124032936;0,040190439;0,035270294;0,000268327;0,119916805;0,078875126;1,19E-05;0,082261882;0,000129444;0;0,039507699;0,078666356;9,78E-05;0,039082873;0,000944549;0;0;0,000112628;0,000169771;0;1,90E-05;9,38E-05;2,42E-05;0;0,000156661;0;0;0;0;0;0;3,53E-05;0,079485187;0,115852238;0,039916543;0,000346918;0,082652857;3,15E-05;0;0;0;0;0;0;0;0,041846884;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lex;0,294956206;0,019972075;0,0410108;0,00667378;0,049396508;0,02982315;0,127778281;0,017731583;0,011027562;3,41E-06;0,014385085;0,010171341;0,009240949;0,016169664;0,015882283;0,00081823;0,004465718;0,011757465;0,008753892;0;0,018644642;0,006885773;0,010977944;0,016513664;0,018830921;0,002007997;0,004169587;0,006134209;0,008401836;0,002754852;0,001485591;0,008869883;0,010639433;0,020342425;0,011279869;0,009774679;0,053603793;0,001513066;0,056223739;0,0002348;0,000705379;0,000185711;0;0,000588693;0,004032524;0,010753383;0,004430019;0,001211457;0,005068995;0,00867971;0,000539368;0,002640289;0,001857783;;;;;;;;;;;;;;;;;;;;;;;;;;;
misspell;0,088405439;0,000450038;0,125312653;0,09263815;9,15E-05;0,026032546;0,00038079;7,43E-06;0,000460274;0,000120776;0,029734402;4,74E-05;0,000339008;0,030963687;0,11773993;0;9,47E-05;3,99E-05;1,19E-05;0;0,000692627;4,39E-05;0,000879735;0,000265784;0,000229877;5,21E-05;3,74E-05;0,000805362;0,00015436;0,000263125;0,000120338;1,87E-05;8,72E-05;0,000759074;0,063108884;0,000752759;0,357980862;0;0;0;0;0;0;0;0,029467248;0;0,000177466;0;0;9,45E-06;0,030680323;2,50E-05;0;0,0005179;;;;;;;;;;;;;;;;;;;;;;;;;;
