sentid	sent	start	finish	error	correction	tag	levenstein	lemmaequal	grammequal	stemequal	lenorig	lencorr	bastard	pos1	pos2
61119	Мы сидели пол часа.	3	4	пол   часа.	полчаса	Space	4	0	0	0	4	1	0	NUM=(вин|им)  S  	S 
19055	Хомскийб Ноам ( 7 Декабря, 1928, Филадельфии, Пенсилвания). 	7	7	Пенсилвания		orpho	11	0	0	0	1	0	0	S 	
32	Студенты так же борятся за спасение озера Байкал, совсем не обязательно быть в России для поддержки, можно подписать разные петиции в Интернете. 	2	3	так же 	также 	orpho	1	0	0	0	3	2	0	ADVPRO=  PART= 	ADV= 
106	Частные институты действуют по средствам рыночного механизма, а общественные институты осуществляют экономический контроль через административные регулирования и налоговые стимула(? ). (? ). 	17	17	стимула		gov	7	0	0	0	1	0	0	S 	
106	Частные институты действуют по средствам рыночного механизма, а общественные институты осуществляют экономический контроль через административные регулирования и налоговые стимула(? ). (? ). 	17	17	стимула		gov	7	0	0	0	1	0	0	S 	
107	(? ). (? ).Мы видим на рынке процесс, по средствам, ,которого продавцы и покупатели продуктов взаимодействуют, чтобы определить цену и количество товаров. 	0	4		посредством, 	orpho, orpho	13	0	0	0	0	2	0		PR= 
115	Рынок отвечает на него так- производить нужно, столько сколько нужно, чтобы обеспечивать удовлетворение потребности и получить максимальную припой. 	14	14	потребности		lex	11	0	0	0	1	0	0	S 	
120	У государства экономические и административные меры, но в чём же состоит основные задачи государственного регулирования. 	3	3	экономические экономические 	есть есть экономические 	lex	11	0	0	0	3	4	0	A=(вин  A=(вин 	V  V  A=(вин 
120	У государства экономические и административные меры, но в чём же состоит основные задачи государственного регулирования. 	3	3	экономические экономические 	есть есть экономические 	lex	11	0	0	0	3	4	0	A=(вин  A=(вин 	V  V  A=(вин 
122	Основные задачи государственного регулирования становятся повышение конкуретно- способности и эффективности производства, а важнейшая функция государства- эта защита качественных параметров жизнедеятельности общества. 	0	8		конкурентоспособности 	orpho, morph	22	0	0	0	0	2	0		S 
308	Бермудские острова образуют всего одну из вершин треугольника, но все же все самые загадочные исчезновения случаются в области Бермуд. 	18	18	области		lex?	7	0	0	0	1	0	0	S 	
314	Однако в 1964 году Винцент Гаддис написал статью под названием « Смертоносный бермудский треугольник». 	12	12	бермудский		orpho	10	0	0	0	1	0	0	A=(вин 	
316	Первая книга была написана Джоном проклятых». 	6	6	проклятых		syntax	9	0	0	0	1	0	0	A=(пр 	
316	Первая книга была написана Джоном проклятых». 	6	6	проклятых		syntax	9	0	0	0	1	0	0	A=(пр 	
